SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, Magnetic
1657264018.423825, , , , , , 
1657264018.442849, -0.120907, -3.577536, -9.026589, -0.433094, -0.167884, -0.066764
1657264018.463070, 0.184653, -2.918681, -7.203105, -0.999359, 0.132300, 0.379293
1657264018.483854, 0.128988, -2.505233, -7.350199, -1.537645, 0.327230, 0.528677
1657264018.503012, -0.306757, -2.533963, -8.520664, -2.136368, 0.382674, 0.728476
1657264018.523825, 0.160561, -2.697068, -7.689128, -2.500818, 0.439721, 1.053594
1657264018.543840, 0.840963, -2.969708, -9.267655, -2.217236, -0.292112, 1.575957
1657264018.563319, 0.647781, -2.768445, -9.746047, -1.091535, -1.576410, 2.317599
1657264018.583999, -0.017508, -0.310348, -8.240094, -0.128504, -2.145721, 2.602777
1657264018.602987, -0.233135, 1.379359, -9.217078, 0.667987, -2.913385, 2.192224
1657264018.623851, 0.211139, 0.463577, -7.411850, 1.841661, -2.886876, 1.689378
1657264018.643875, -0.534506, 0.818518, -3.344700, 2.846860, 0.778312, 0.889750
1657264018.663488, -2.159570, -2.134132, -8.898649, 3.694536, 1.741228, 0.447727
1657264018.683862, -3.581576, -1.330129, -13.841029, 3.766173, -1.365406, 0.288411
1657264018.703035, -3.007267, -0.388310, -9.331251, 2.475394, -3.465556, -0.514814
1657264018.723862, -3.144784, -0.743998, -4.861576, 1.284135, -2.270492, -1.284785
1657264018.743826, -2.565387, -4.733037, -4.814889, -0.330023, 0.078934, -0.300711
1657264018.763690, -4.244471, -1.817947, -6.751649, -1.446302, 1.196718, 1.593456
1657264018.783827, -5.923255, -0.925509, -8.730007, -1.790919, 1.562217, 1.764824
1657264018.803939, -5.427057, 0.747889, -10.018986, -1.016657, 0.788151, 1.670368
1657264018.823829, -3.449147, 0.888997, -10.833014, 0.018705, -1.028520, 1.942929
1657264018.842986, -2.847005, 0.541239, -10.657340, 0.896709, -4.287581, 2.224060
1657264018.863800, -4.423736, 0.293290, -7.335535, 1.359323, -5.753143, 2.402129
1657264018.883849, -4.977096, 0.003591, -5.848735, 0.858680, -5.283247, 2.849150
1657264018.903893, -4.376750, 0.931793, -7.512406, 0.617085, -4.826978, 3.724956
